nct_id,official_title,eligibility_criteria,inclusion_criteria,exclusion_criteria
NCT03319472,Clinical Identification of Malignant Pleural Effusions in the Emergency Department,"Inclusion Criteria:

* Pleural effusion
* Hospital admission
* No previous pleural procedure
* Age \> 18 years
* No previous chemoradiotherapy
* No antibiotic therapy during previous trimester
* All history, chest X-ray, and pleural and blood cell counts and biochemistry entry data obtained within 4 hours after admission

Exclusion Criteria:

* No diagnosis at one month post-admission
* No informed consent provided
* Age \< 18 years
* History, chest X-ray, or pleural and blood cell counts and biochemistry entry data obtained later than 4 hours after admission","[""Pleural effusion"", ""Hospital admission"", ""No previous pleural procedure"", ""Age > 18 years"", ""No previous chemoradiotherapy"", ""No antibiotic therapy during previous trimester"", ""All history, chest X-ray, and pleural and blood cell counts and biochemistry entry data obtained within 4 hours after admission""]","[""No diagnosis at one month post-admission"", ""No informed consent provided"", ""Age < 18 years"", ""History, chest X-ray, or pleural and blood cell counts and biochemistry entry data obtained later than 4 hours after admission""]"
NCT00236236,CONTAK RENEWAL® Heart Failure Heart Rate Variability Registry,"Inclusion Criteria:

* Patients receiving their first CRT-D
* Patients who sign and date a Patient Informed Consent prior to device implant
* Patients who are available and willing to attend follow-up visits at the study center in which they were enrolled

Exclusion Criteria:

* Patients who are anticipated to receive pacing modes other than DDD or VDD (i.e., chronic atrial fibrillation patients are excluded), or patients who are anticipated to receive adaptive rate therapy
* Patients who are younger than 18 years of age
* Patients whose life expectancy is less than six-months due to other medical conditions
* Patients with or who are likely to receive a tricuspid or other valve prosthesis
* Patients who are currently enrolled in another investigational study that would directly impact the treatment or outcome of the current study
* Women who are pregnant","[""Patients receiving their first CRT-D"", ""Patients who sign and date a Patient Informed Consent prior to device implant"", ""Patients who are available and willing to attend follow-up visits at the study center in which they were enrolled""]","[""Patients who are anticipated to receive pacing modes other than DDD or VDD (i.e., chronic atrial fibrillation patients are excluded), or patients who are anticipated to receive adaptive rate therapy"", ""Patients who are younger than 18 years of age"", ""Patients whose life expectancy is less than six-months due to other medical conditions"", ""Patients with or who are likely to receive a tricuspid or other valve prosthesis"", ""Patients who are currently enrolled in another investigational study that would directly impact the treatment or outcome of the current study"", ""Women who are pregnant""]"
NCT01550107,A Prospective Study to Evaluate the Effect of Allopurinol on Muscle Energetics in Primary Sarcopenia,"Inclusion Criteria:

Age 65 and over 6-Minute Walk Distance \<400m

Exclusion Criteria:

Documented history of peripheral arterial disease. Pre-existing diagnosis of severe heart failure (LVEF\<35%). Malignancy under active treatment (excluding basal cell carcinoma). Severe COPD (Physician diagnosis). Intolerance to allopurinol. Individuals with Active Acute Gout currently taking allopurinol; or those who have stopped taking allopurinol ≤1month previously for this condition.

On long term high dose steroids (eq. Prednisolone\>10mg/day due to risk of steroid induced myopathy and osteoporosis).

Immobility that would render the patient incapable of doing the Short Physical Performance Battery Test (SPPB) or 6MWT.

Patients who have participated in any other clinical drug trial within the previous 30 days will be excluded.

Cognitive impairment precluding informed consent. Any other considered by a study physician to be inappropriate for inclusion.","[""Age 65 and over"", ""6-Minute Walk Distance <400m""]","[""Documented history of peripheral arterial disease."", ""Pre-existing diagnosis of severe heart failure (LVEF<35%)."", ""Malignancy under active treatment (excluding basal cell carcinoma)."", ""Severe COPD (Physician diagnosis)."", ""Intolerance to allopurinol."", ""Individuals with Active Acute Gout currently taking allopurinol; or those who have stopped taking allopurinol <=1month previously for this condition."", ""On long term high dose steroids (eq. Prednisolone>10mg/day due to risk of steroid induced myopathy and osteoporosis)."", ""Immobility that would render the patient incapable of doing the Short Physical Performance Battery Test (SPPB) or 6MWT."", ""Patients who have participated in any other clinical drug trial within the previous 30 days will be excluded."", ""Cognitive impairment precluding informed consent."", ""Any other considered by a study physician to be inappropriate for inclusion.""]"
NCT00356044,Femoral Versus Radial Access for Coronary Intervention in the Acute Phase of ST-Elevation Myocardial Infarction,"Inclusion Criteria:

* Patients with ST elevation acute myocardial infarction referred for primary,facilitated or of rescue coronary angioplasty in the first 12 hours since the start of the symptoms.

Exclusion Criteria:

* Patients in cardiogenic shock were excluded following operator criteria.
* Previous coronary surgery with mammary artery graft
* Coronary artery intervention in the previous month
* Absolute or relative contraindication for access via the radial artery route:Radial pulse absent or weak, abnormal Allen test,anatomy known to impede the use of the radial route or hemodialysis or advanced chronic renal insufficiency (creatinine \>3 mg/dl).
* Patients with absolute or relative contraindication for the use of the femoral route.
* Absence of informed consent from the patient","[""Patients with ST elevation acute myocardial infarction referred for primary,facilitated or of rescue coronary angioplasty in the first 12 hours since the start of the symptoms.""]","[""Patients in cardiogenic shock were excluded following operator criteria."", ""Previous coronary surgery with mammary artery graft"", ""Coronary artery intervention in the previous month"", ""Absolute or relative contraindication for access via the radial artery route:Radial pulse absent or weak, abnormal Allen test,anatomy known to impede the use of the radial route or hemodialysis or advanced chronic renal insufficiency (creatinine >3 mg/dl)."", ""Patients with absolute or relative contraindication for the use of the femoral route."", ""Absence of informed consent from the patient""]"
NCT02805387,"Bicarbonate, a New Treatment of Labour Dystocia","Inclusion Criteria:

* primiparity, singleton pregnancy
* with an arrested labour progress according to the partogram with a need for oxytocin
* Gestational age was between 37-42 weeks
* and no maternal /fetal chronic and/or pregnancy-related conditions.

Exclusion Criteria:

* multiparous women
* deliveries with non-cephalic presentation
* multiples
* deliveries with fetal chronic and/or pregnancy-related conditions
* IUFD (Intra Uterine Fetal Death) or premature \< 37 weeks of gestation","[""primiparity, singleton pregnancy"", ""with an arrested labour progress according to the partogram with a need for oxytocin"", ""Gestational age was between 37-42 weeks"", ""and no maternal /fetal chronic and/or pregnancy-related conditions""]","[""multiparous women"", ""deliveries with non-cephalic presentation"", ""multiples"", ""deliveries with fetal chronic and/or pregnancy-related conditions"", ""IUFD (Intra Uterine Fetal Death) or premature < 37 weeks of gestation""]"
NCT01642784,Complete Infarct Related Artery Revascularization in Acute Myocardial Infarction Registry(CORAMIreg),"Inclusion Criteria:

* Diagnosis of STEMI or NSTEMI (according to ESC 2007 definition)
* Over 18 years of age
* Presence of two critical lesions requiring PCI in IRA (LAD (left anterior descending), Cx (circumflex), RCA (right coronary artery)):

  1. Target/culprit lesion which requires immediate stenting (\>50 - 100%) and
  2. Second critical lesion (70-90%).

Exclusion Criteria:

* Terminal illness with life expectancy less \<1 year or active cancer disease,
* Pregnancy or possibility of pregnancy
* Second critical lesion in IRA \>90% or occlusion
* Contraindications to PCI or/and stent implantation
* Con-current participation in another clinical study that did not meet its primary end-point","[""Diagnosis of STEMI or NSTEMI (according to ESC 2007 definition)"", ""Over 18 years of age"", ""Presence of two critical lesions requiring PCI in IRA (LAD (left anterior descending), Cx (circumflex), RCA (right coronary artery)):"", ""Target/culprit lesion which requires immediate stenting (>50 - 100%) and"", ""Second critical lesion (70-90%).""]","[""Terminal illness with life expectancy less <1 year or active cancer disease"", ""Pregnancy or possibility of pregnancy"", ""Second critical lesion in IRA >90% or occlusion"", ""Contraindications to PCI or/and stent implantation"", ""Con-current participation in another clinical study that did not meet its primary end-point""]"
NCT01139307,Development of Novel Therapeutics for AMKL,"DISEASE CHARACTERISTICS:

* Diagnosis of acute megakaryoblastic leukemia
* Diagnosis of Down syndrome
* Cryopreserved specimens available

PATIENT CHARACTERISTICS:

* Not specified

PRIOR CONCURRENT THERAPY:

* Not specified","[""Diagnosis of acute megakaryoblastic leukemia"", ""Diagnosis of Down syndrome"", ""Cryopreserved specimens available""]",[]
NCT02367716,Post-market Study of Multi-Vector Left Ventricular Lead Performance in Chinese Patients With Chronic Heart Failure,"Inclusion Criteria:

* Meets the current European Society of Cardiology (ESC) or American College of Cardiology Foundation (ACCF)/American Heart Association (AHA)/Heart Rhythm Society (HRS) Class I or Class IIa indications for CRT implant (including upgrades from single or dual chamber Implantable Cardioverter-Defibrillators (ICDs))
* Are ≥ 18 years of age at the time of enrolment.
* Are able to provide written Informed Consent prior to any study related procedure.

Exclusion Criteria:

* Patient who is unable to comply with the follow-up schedule.
* Patient who has any medical conditions that in the opinion of the investigator will not be appropriate to participate in the study .
* Patient has a life expectancy of less than 1 year due to any condition.
* Patients, who has a CRT device implanted","[""Meets the current European Society of Cardiology (ESC) or American College of Cardiology Foundation (ACCF)/American Heart Association (AHA)/Heart Rhythm Society (HRS) Class I or Class IIa indications for CRT implant (including upgrades from single or dual chamber Implantable Cardioverter-Defibrillators (ICDs))"", ""Are \"">=\"" 18 years of age at the time of enrolment."", ""Are able to provide written Informed Consent prior to any study related procedure.""]","[""Patient who is unable to comply with the follow-up schedule."", ""Patient who has any medical conditions that in the opinion of the investigator will not be appropriate to participate in the study ."", ""Patient has a life expectancy of less than 1 year due to any condition."", ""Patients, who has a CRT device implanted""]"
NCT00176384,Impact of Three Months of Aerobic Exercise Training on Exercise Capacity and Peripheral Maladaptations in Patients With Severe Chronic Heart Failure (NYHA III b),"Inclusion Criteria:

* chronic heart failure (NYHA class III b)
* peak oxygen uptake \<20 mL/min/kg body weight
* left ventricular ejection fraction \<25 %
* left ventricular end-diastolic diameter \>60 mm

Exclusion Criteria:

* exercise-induced myocardial ischemia
* cardiac decompensation within the last 8 weeks
* ventricular arrhythmias (\>Lown 4b) in patients not protected by an ICD
* insulin-dependent diabetes mellitus
* uncontrolled arterial hypertension
* orthopedic conditions excluding training participation
* body mass index \>30 kg/m2","[""chronic heart failure (NYHA class III b)"", ""peak oxygen uptake <20 mL/min/kg body weight"", ""left ventricular ejection fraction <25 %"", ""left ventricular end-diastolic diameter >60 mm""]","[""exercise-induced myocardial ischemia"", ""cardiac decompensation within the last 8 weeks"", ""ventricular arrhythmias (>Lown 4b) in patients not protected by an ICD"", ""insulin-dependent diabetes mellitus"", ""uncontrolled arterial hypertension"", ""orthopedic conditions excluding training participation"", ""body mass index >30 kg/m2""]"
NCT01510652,More Options Available With a Quadripolar Left Ventricular (LV) Lead pRovidE In-clinic Solutions to Cardiac Resynchronization Therapy (CRT) Challenges,"Inclusion Criteria:

* Patients are indicated for Cardiac Resynchronization Therapy with Defibrillation backup device (CRT-D) implantation, as per current international certified guidelines
* Patients age is 18 years or greater
* Patients must indicate their understanding of the study and willingness to participate by signing the appropriate informed consent form
* Patients must be willing and able to comply with all study requirements

Exclusion Criteria:

* Patients with a life expectancy \<12 months.
* Patients who are or may potentially be pregnant.
* Patient has suffered any of the following in the 4 weeks prior to enrolment:

  * Myocardial Infarction (MI)
  * Coronary Artery Bypass Graft (CABG)
  * Unstable Angina Pectoris
* Patient has primary valvular disease which has not been corrected","[""Patients are indicated for Cardiac Resynchronization Therapy with Defibrillation backup device (CRT-D) implantation, as per current international certified guidelines"", ""Patients age is 18 years or greater"", ""Patients must indicate their understanding of the study and willingness to participate by signing the appropriate informed consent form"", ""Patients must be willing and able to comply with all study requirements""]","[""Patients with a life expectancy <12 months."", ""Patients who are or may potentially be pregnant."", ""Patient has suffered any of the following in the 4 weeks prior to enrolment: Myocardial Infarction (MI)"", ""Coronary Artery Bypass Graft (CABG)"", ""Unstable Angina Pectoris"", ""Patient has primary valvular disease which has not been corrected""]"
