nct_id,official_title,eligibility_criteria,inclusion_criteria,exclusion_criteria
NCT06423625,Developing a Prediction Score Model for Predicting the Likelihood of Hemorrhagic MI Before Percutaneous Coronary Reperfusion Therapy,"Inclusion Criteria:

* Age \> 18 yrs
* Index MI
* Primary PCI

Exclusion Criteria:

* History of prior myocardial infarction,
* Thrombolysis before PCI
* Contraindication to Cardiac MRI","[""Age > 18 yrs"", ""Index MI"", ""Primary PCI""]","[""History of prior myocardial infarction"", ""Thrombolysis before PCI"", ""Contraindication to Cardiac MRI""]"
NCT00090259,"A Multi-center, Double-Blind, Randomized, Parallel Group Study to Evaluate the Effects of Two Different Doses of Losartan on Morbidity and Mortality in Patients With Symptomatic Heart Failure Intolerant of ACE Inhibitor Treatment","Inclusion Criteria:

* Symptomatic heart failure with known or recently diagnosed intolerance of treatment with first-line medication for heart failure
* May or may not be receiving an alternative and/or additional drug treatment","[""Symptomatic heart failure with known or recently diagnosed intolerance of treatment with first-line medication for heart failure"", ""May or may not be receiving an alternative and/or additional drug treatment""]",[]
NCT05625269,The Effect of Education and Follow-up Program in Patients Undergoing Transcatheter Aortic Valve Implantation,"Inclusion Criteria:

* Transcatheter aortic valve implantation will be performed
* New York Health Association class II or III
* Mini-Mental Assessment test score ≥ 24
* Reachable by phone
* Volunteer to participate in the research
* Patients who can understand and speak Turkish

Exclusion Criteria:

* Stroke before and after the procedure
* Patients with kidney failure (to a level that requires dialysis treatment)
* Cancer (chemotherapy, radiotherapy)
* Chronic obstructive pulmonary disease (at a level that will require ventilation support)
* Severe hearing impairment","[""Transcatheter aortic valve implantation will be performed"", ""New York Health Association class II or III"", ""Mini-Mental Assessment test score \"",\"">= 24"", ""Reachable by phone"", ""Volunteer to participate in the research"", ""Patients who can understand and speak Turkish""]","[""Stroke before and after the procedure"", ""Patients with kidney failure (to a level that requires dialysis treatment)"", ""Cancer (chemotherapy, radiotherapy)"", ""Chronic obstructive pulmonary disease (at a level that will require ventilation support)"", ""Severe hearing impairment""]"
NCT02394470,BioImpedentiometry and Lung UltraSound Examination to MOnitor cONgestion in Heart Failure,"Inclusion Criteria:

* Signed informed consent

Group-specific inclusion criteria:

1. Group 1 (Acute Heart Failure - AHF), patient admitted to the hospital for acute heart failure (de-novo or exacerbation of chronic heart failure), who have at least two of the following congestion criteria:

   * weight gain ≥ 2 kg over the three days prior to hospitalization
   * physical findings or radiographic signs of pulmonary congestion (crackles, semi-orthopnea)
   * Hepatomegaly \> 2 cm from the arch rib or ascites
   * jugular turgor or central venous pressure \> 10 cm H20
   * Ankle swelling
2. Group 2 (Chronic Heart Failure - CHF): outpatients with chronic heart failure (CHF) with characters of clinical stability

   * No hospitalization in the previous six months
   * Symptoms stable for at least 4 weeks
   * Oral therapy stable for at least 4 weeks
   * No involuntary weight variations greater than 2 kg in the last 4 weeks
   * Absence of signs of congestion
3. Group 3 (advanced Chronic Heart Failure - ad-CHF) Patients on optimal medical therapy for HF and treated with periodic infusions of levosimendan (every 4 weeks) according to the following criteria

   * Systolic dysfunction (LVEF \<35%)
   * NYHA Class IIIb-IV and/or level INTERMACS 4, 5, 6
   * ≥2 admissions or access to the emergency department for acute HF exacerbation in the previous 12 months

Exclusion Criteria:

* Uremia in dialysis treatment
* Invasive mechanical ventilation
* Mechanical circulatory support
* Cardiac cachexia defined as weight loss ≥ 5% in the prior 12 months or body mass index \<20 kg/m2 and hypoalbuminemia (albumin \<3.2 g/dl) or anemia (hemoglobin \<12 g/l)",[],[]
NCT00287209,Reduction of Atrial Fibrillation Study in Patients Undergoing Coronary Artery Bypass Grafting. (RASCABG 1 Study),"Inclusion Criteria:

* enlistment for an elective CABG
* age more than 18 years
* willingness to be randomised
* provision of informed consent

Exclusion Criteria:

* enlistment for other types of heart surgery
* earlier heart surgery
* resting heart rate below 40 bpm.
* AV-blockage of any degree
* preoperative atrial fibrillation or flutter
* former known atrial fibrillation or flutter lasting more than one month
* hepatic dysfunction (ALAT \> twice the upper normal limit)
* hyperthyroidism
* pregnancy
* breastfeeding
* known adverse reactions to amiodarone","[""enlistment for an elective CABG"", ""age more than 18 years"", ""willingness to be randomised"", ""provision of informed consent""]","[""enlistment for other types of heart surgery"", ""earlier heart surgery"", ""resting heart rate below 40 bpm."", ""AV-blockage of any degree"", ""preoperative atrial fibrillation or flutter"", ""former known atrial fibrillation or flutter lasting more than one month"", ""hepatic dysfunction (ALAT > twice the upper normal limit)"", ""hyperthyroidism"", ""pregnancy"", ""breastfeeding"", ""known adverse reactions to amiodarone""]"
NCT00482937,"A Phase I, Single Ascending Dose Trial to Examine the Safety and Pharmacodynamic Effects of CD-NP","Inclusion Criteria:

* Be a healthy male using reliable contraception, a post-menopausal female, or a surgically sterilized female 18 to 60 years of age
* Have a BMI within the range of 18-34 kg/m2
* Be able to communicate effectively with the study personnel
* Have no significant disease or abnormal laboratory values as determined by medical history, physical examination or laboratory evaluations, conducted at the screening visit or on admission to the clinic
* Have a normal 12-lead electrocardiogram, without any clinically significant abnormalities
* Be nonsmokers defined as not having smoked in the past 6 months
* Be adequately informed of the nature and risks of the study and give written informed consent prior to receiving study medication

Exclusion Criteria:

* Known hypersensitivity or allergy to CD-NP or its components, nesiritide, other natriuretic peptides, or related compounds
* Women who are pregnant or breast-feeding
* Any disease or condition (medical or surgical) which, in the opinion of the investigator, might compromise the hematologic, cardiovascular, pulmonary, renal, gastrointestinal, hepatic, or central nervous system; or other conditions that may interfere with the absorption, distribution, metabolism or excretion of study drug, or would place the subject at increased risk
* The presence of abnormal laboratory values which are considered clinically significant.
* Positive screen for Hepatitis B (HbsAg, Hepatitis B Surface Antigen), Hepatitis C (anti HCV, Hepatitis C Antibody), or HIV (anti-HIV 1/2).
* Received an investigational drug within a period of 30 days prior to enrollment in the study.
* Received any drug therapy within 1 week, or 5 half-lives, prior to administration of the first dose of any study-related treatment. This exclusion is extended to 4 weeks for any drugs known to induce or inhibit hepatic drug metabolism. Use of NSAIDs, sulfonamides, probenecid or other drugs known to alter renal or tubular function is specifically prohibited for at least 5 half-lives prior to the first dose of any study related treatment.
* Consumption of alcohol within 48 hours prior to dose administration or during any in-patient period.
* A positive urine drug screen including ethanol, cocaine, THC, barbiturates, amphetamines, benzodiazepines, and opiates.
* A history (within the last 2 years) of alcohol abuse, illicit drug use, significant mental illness, physical dependence to any opioid, or any history of drug abuse or addiction.
* A history of difficulty with donating blood. Donated blood or blood products within 45 days prior to enrollment","[""Be a healthy male using reliable contraception, a post-menopausal female, or a surgically sterilized female 18 to 60 years of age"", ""Have a BMI within the range of 18-34 kg/m2"", ""Be able to communicate effectively with the study personnel"", ""Have no significant disease or abnormal laboratory values as determined by medical history, physical examination or laboratory evaluations, conducted at the screening visit or on admission to the clinic"", ""Have a normal 12-lead electrocardiogram, without any clinically significant abnormalities"", ""Be nonsmokers defined as not having smoked in the past 6 months"", ""Be adequately informed of the nature and risks of the study and give written informed consent prior to receiving study medication""]","[""Known hypersensitivity or allergy to CD-NP or its components, nesiritide, other natriuretic peptides, or related compounds"", ""Women who are pregnant or breast-feeding"", ""Any disease or condition (medical or surgical) which, in the opinion of the investigator, might compromise the hematologic, cardiovascular, pulmonary, renal, gastrointestinal, hepatic, or central nervous system; or other conditions that may interfere with the absorption, distribution, metabolism or excretion of study drug, or would place the subject at increased risk"", ""The presence of abnormal laboratory values which are considered clinically significant."", ""Positive screen for Hepatitis B (HbsAg, Hepatitis B Surface Antigen), Hepatitis C (anti HCV, Hepatitis C Antibody), or HIV (anti-HIV 1/2)."", ""Received an investigational drug within a period of 30 days prior to enrollment in the study."", ""Received any drug therapy within 1 week, or 5 half-lives, prior to administration of the first dose of any study-related treatment. This exclusion is extended to 4 weeks for any drugs known to induce or inhibit hepatic drug metabolism. Use of NSAIDs, sulfonamides, probenecid or other drugs known to alter renal or tubular function is specifically prohibited for at least 5 half-lives prior to the first dose of any study related treatment."", ""Consumption of alcohol within 48 hours prior to dose administration or during any in-patient period."", ""A positive urine drug screen including ethanol, cocaine, THC, barbiturates, amphetamines, benzodiazepines, and opiates."", ""A history (within the last 2 years) of alcohol abuse, illicit drug use, significant mental illness, physical dependence to any opioid, or any history of drug abuse or addiction."", ""A history of difficulty with donating blood. Donated blood or blood products within 45 days prior to enrollment""]"
NCT03772847,Ginkgolide With Intravenous Alteplase Thrombolysis in Acute Ischemic Stroke Neurological Improving Trial,"Inclusion Criteria:

1. Age over 18 years old, clinically diagnosed as acute ischemic stroke;
2. in accordance with the indications for intravenous thrombolysis;
3. The patient or family member signs an informed consent form.

Exclusion Criteria:

1. Patients with transient ischemic attack;
2. Imaging examination of patients with cerebral hemorrhage
3. patients with cerebral arteritis
4. ALT, AST ≥ 3 times the upper limit of normal value, Cr ≥ 1.5 times the upper limit of normal value
5. There is a tendency to bleed, and severe bleeding has occurred within 3 months
6. Patients with ginkgo drugs, alcohol, glycerol allergies or allergies
7. Patients with pregnancy plans, pregnancy and breastfeeding
8. Patients who participated in other drug clinical studies in the past month
9. Patients considered by the investigator to be unfit to participate in the clinical study (eg, mental, abnormal, etc.)","[""Age over 18 years old, clinically diagnosed as acute ischemic stroke"", ""in accordance with the indications for intravenous thrombolysis"", ""The patient or family member signs an informed consent form""]","[""Patients with transient ischemic attack"", ""Imaging examination of patients with cerebral hemorrhage"", ""patients with cerebral arteritis"", ""ALT, AST \b3 times the upper limit of normal value, Cr \b1.5 times the upper limit of normal value"", ""There is a tendency to bleed, and severe bleeding has occurred within 3 months"", ""Patients with ginkgo drugs, alcohol, glycerol allergies or allergies"", ""Patients with pregnancy plans, pregnancy and breastfeeding"", ""Patients who participated in other drug clinical studies in the past month"", ""Patients considered by the investigator to be unfit to participate in the clinical study (eg, mental, abnormal, etc.)""]"
NCT00935740,Tissue Factor Expression in Stage C Heart Failure,"Inclusion Criteria:

* Heart failure subjects with symptomatic heart failure (New York Heart Association \[NYHA\] functional class II to IV) due to either idiopathic dilated cardiomyopathy or ischemic cardiomyopathy and had a left ventricular ejection fraction \< 0.35.","[""Heart failure subjects with symptomatic heart failure (New York Heart Association [NYHA] functional class II to IV) due to either idiopathic dilated cardiomyopathy or ischemic cardiomyopathy and had a left ventricular ejection fraction < 0.35.""]",[]
NCT04616625,Cardiovascular Effects of Prenatal Methamphetamine Exposure,"Inclusion Criteria:

1. Infants born at UCDCH and at AHRO at gestational age \>34 weeks. (\<34 weeks excluded to avoid the effects of prematurity)
2. For the MA exposed subgroup (n=30): Infants born to mothers with prenatal history of MA use during current pregnancy and/or positive meconium toxicology positive for MA in infant.
3. For the MA unexposed subgroup (n=12): Infants born to mothers without prenatal history of MA use during this pregnancy and negative meconium toxicology for MA in infant.

Exclusion Criteria:

a) Presence of congenital anomalies and known fatal conditions.","[""Infants born at UCDCH and at AHRO at gestational age >34 weeks. (<34 weeks excluded to avoid the effects of prematurity)"", ""For the MA exposed subgroup (n=30): Infants born to mothers with prenatal history of MA use during current pregnancy and/or positive meconium toxicology positive for MA in infant."", ""For the MA unexposed subgroup (n=12): Infants born to mothers without prenatal history of MA use during this pregnancy and negative meconium toxicology for MA in infant.""]","[""Presence of congenital anomalies and known fatal conditions.""]"
NCT00616369,Identification of Genetic Markers for Cardiopulmonary Diseases,"Inclusion Criteria:

* Participants with the diagnosis of any of the previously listed Cardiopulmonary Diseases who are ≥15 years of age will be approached and offered the opportunity to participate in this study.","[""Participants with the diagnosis of any of the previously listed Cardiopulmonary Diseases who are \"",\""15 years of age will be approached and offered the opportunity to participate in this study.""]",[]
